attribution_tag,attribution_name,dimred_tag,dimred_name,prompt_count,soft_suff_mean,soft_suff_std,soft_comp_mean,soft_comp_std,final_suff_mean,final_suff_std,final_comp_mean,final_comp_std
gradient_shap,gradient_shap,nmf_n_components_1,nmf,6,0.04037370858748312,0.0358980771119173,0.3578400593332612,0.11555986391133363,2.638984335812396,6.913040884184261,1.0440017290809738,0.3123131355024954
gradient_shap,gradient_shap,pca_n_components_1,pca,6,0.02705473630009315,0.01778413544129351,0.29253336824619985,0.08372581106917777,2.6406000528287383,6.231599482753121,0.9032669096304967,0.16174665476603134
input_x_gradient,input_x_gradient,baseline,baseline,6,0.021209827659370042,0.008337543304839668,0.25993414627842665,0.08167349625600825,3.666786590004184,4.334347450748271,0.7894625320431783,0.4214493808976279
input_x_gradient,input_x_gradient,factor_analysis_n_components_1,factor_analysis,6,0.02891074409718687,0.017616863925852728,0.3709238522198361,0.10398688052389714,2.710698453392473,4.562471827961649,1.2458942430077231,0.32830846564234445
input_x_gradient,input_x_gradient,ica_n_components_1,ica,6,0.025063383128954956,0.01040386056818594,0.3148574588402221,0.0667216172552626,4.534762313148939,4.886020052311167,0.9997224541652231,0.36646776866330044
input_x_gradient,input_x_gradient,kernel_pca_n_components_1,kernel_pca,6,0.01677915585921338,0.010255825547547967,0.3609899688290088,0.1130263485775527,2.610122906447795,3.234015695585326,1.1025808652644196,0.29938372502346483
input_x_gradient,input_x_gradient,nmf_n_components_1,nmf,6,0.04986686141915877,0.03895844513108027,0.40761959238279305,0.1488233060693397,3.1597870339131915,4.735332103616761,1.2918535656681782,0.669510974714565
input_x_gradient,input_x_gradient,pca_n_components_1,pca,6,0.018487398369327685,0.003790542903936263,0.34931270724246316,0.09145056668974985,3.439289193294003,2.665106004994777,0.9701344101112633,0.5306373985982622
lxt,lxt,baseline,baseline,6,0.020733109352375444,0.014276094241711473,0.324104539626415,0.08829701776422497,3.3411205617404796,3.4694644828021186,0.9856483961291045,0.28921506160672517
lxt,lxt,factor_analysis_n_components_1,factor_analysis,6,0.029032624414430667,0.008352126004895715,0.38978068104451097,0.11480808436796812,7.0309120110930685,3.1999428996657953,1.2832490345475094,0.4056066415514129
lxt,lxt,ica_n_components_1,ica,6,0.03461263878210883,0.023758424741620106,0.38768932815704255,0.12013631381677468,4.933692332967354,4.437509377281653,1.1945192021954496,0.42114038613602595
lxt,lxt,kernel_pca_n_components_1,kernel_pca,6,0.02591557772377283,0.013306521757066894,0.2949459946380507,0.07250425848310851,3.8882069386888567,4.130434027885398,1.0258342527982083,0.2835014272278516
lxt,lxt,nmf_n_components_1,nmf,6,0.04255353269133901,0.03149071371297312,0.43529497439016684,0.09992432627923706,4.891727339697327,2.883904093394149,1.2947165193932522,0.45703302845013605
lxt,lxt,pca_n_components_1,pca,6,0.02613304927342018,0.012803519212805373,0.4002993166508589,0.09652506272964904,1.791772144225055,4.471284449567387,1.2773368691787157,0.4141729492653326
saliency,saliency,baseline,baseline,6,0.020833785759002132,0.012090942536794392,0.2882268976550667,0.1109958387822272,4.834721966707515,3.5037651086584516,0.9279297194678353,0.4126954735138676
saliency,saliency,factor_analysis_n_components_1,factor_analysis,6,0.020306863561747615,0.015508953658499176,0.2876782673050904,0.0805899966300387,0.29030138556918333,5.491146455472822,0.8389962953317699,0.3464672549150718
saliency,saliency,ica_n_components_1,ica,6,0.023402390597690993,0.016003933324733627,0.28272058327494576,0.07025605090690214,1.8922766437242349,2.9778281378057025,0.8009134540821538,0.44464915713220304
saliency,saliency,kernel_pca_n_components_1,kernel_pca,6,0.029664761613208277,0.02127001669841788,0.256217274919351,0.0573134036199992,6.312123146263352,5.551325933087395,0.8286818399184374,0.15976100796475015
saliency,saliency,nmf_n_components_1,nmf,6,0.048927906944794826,0.0413060704072985,0.3418315003141228,0.12965632722391443,1.9162140514889738,5.2114373771123805,0.9549358315335675,0.357720763237861
saliency,saliency,pca_n_components_1,pca,6,0.01728537606387977,0.007435199359070842,0.24177020985718264,0.0778637526229284,3.9539942319974943,6.3743698904623,0.5792378978358101,0.34382130884895085
value_zeroing,value_zeroing,baseline,baseline,6,0.014685231091314144,0.0066361407590089985,0.19269572976694294,0.06047982424908799,-0.40736784417123717,6.114689816553486,0.380410863880793,0.1584411625244782
value_zeroing,value_zeroing,factor_analysis_n_components_1,factor_analysis,6,0.01887324689598752,0.009324817875277114,0.234642968578024,0.04346063810562437,4.245280364981428,2.758666296890868,0.6509402790116328,0.32691704505530433
value_zeroing,value_zeroing,ica_n_components_1,ica,6,0.017874473300683705,0.013418530439002737,0.22238230563922814,0.0885214793358074,2.277171845809736,3.363631123696231,0.5586752521672581,0.334654259907643
value_zeroing,value_zeroing,kernel_pca_n_components_1,kernel_pca,6,0.019781585465578615,0.01293297927509444,0.21428202926500028,0.04130037025966274,1.6745147254164217,2.770083430038566,0.6227200835708643,0.3610400003237462
value_zeroing,value_zeroing,nmf_n_components_1,nmf,6,0.020149119174947078,0.011966572932938187,0.2731143929580429,0.06460100378309987,2.025233934287778,4.001049494514656,0.850077394123073,0.39590169875604797
value_zeroing,value_zeroing,pca_n_components_1,pca,6,0.019203448483141098,0.015690107435421388,0.20149346048327602,0.08147126756410342,1.2839607133913595,4.180458078406953,0.45974301859628386,0.1357569681443453
